CopieBN;CopieCol;DataFine;DataInizio;DescrizioneProdotto;Durata;EccBN;EccCol;NOL_FIN;NOL_INT;NumeroContratto;Proprietario;RagioneSociale;Stato;TotRata;﻿ClienteID;RowID
*;*;;01/10/2024;AUMENTO SPAZIO BACK UP INCLOUD - SPAZIO TOTALE 3TB;60;*;*;;20 MESE;;fabio;ALPHASAR;aperto;20.00 €;23;26
;;;01/09/2025;CONNETTIVITA';;;;;;;fabio;AMAE SRL POLIAMBULATORIO;aperto;0.00 €;24;27
;;01/04/2029;25/01/2024;IPHONE 15 PRO 512 GB + APPLE WATCH ULTRA;60;;;BNP 50;5;;fabio;AMMINISTRAZIONI 2T S.R.L. (Amministrazioni Tarrini Sas);aperto;55.00 €;25;28
;;01/04/2029;15/02/2024;IPHONE 15 128GB;60;;;BNP 22;;;fabio;AMMINISTRAZIONI 2T S.R.L. (Amministrazioni Tarrini Sas);aperto;22.00 €;25;29
;;01/07/2030;01/07/2025;HP PROONE 440 G9 AIO + OFFICE STANDARD 2024 + ESTENSIONE;60;;;GRENKE 40;;127-43453;fabio;AURA OFFICE SERVICES DI LAURA GIPPONI;aperto;40.00 €;31;30
;;01/08/2030;17/07/2025;CENTRALINO P 520 + 3 TELEFONI + 3 CORDLESS + LINKUS X 5 ANNI;60;;;BNP 59;;A1G05817;fabio;AUTOCASCONE E C. SRL;aperto;59.00 €;32;31
;;;;AS400;;;;;;;fabio;AUTORICAMBI FOSCHETTI SRL;aperto;0.00 €;33;32
;;01/08/2030;17/07/2025;"APPLE IMAC 24"" (RAM 16GB + SSD 256 + ARGENTO) + IPHONE 16 PRO 256GB";60;;;BNP 55;;;fabio;AVV.TO CRISTIANA GEREMIA;aperto;55.00 €;34;33
;;01/01/2030;18/12/2024;GALAXY S24 ULTRA 256GB + GALAXY TAB S10 256GB + IPAD PRO 11 256GB;60;;;IFIS 100;;14209344;fabio;AZIENDA MULTISERVIZI CERRO MAGGIORE - da Ld Fasteners;aperto;100.00 €;38;34
;;01/10/2026;29/07/2021;HP ELITEBOOK 850 G7 + OFFICE;60;;;BNP 25;*;;fabio;Architetto Elena Duranti;aperto;25.00 €;39;35
;;01/01/2029;27/10/2023;PC HP + MONITOR + SCHEDA WIFI + OFFICE + IPHONE 14 256GB BLU + ESTENSIONE;60;;;BNP 55;*;;fabio;Architetto Elena Duranti;aperto;55.00 €;39;36
;;;;I PAD VECCHIO NOLEGGIO;;;;;;;fabio;Architetto Elena Duranti;aperto;0.00 €;39;37
;;01/10/2028;17/07/2023;APPLE MAC STUDIO (32GB SSD 1TB);60;;;BNP 75;*;;fabio;Architetto Giorgio Ciarallo;aperto;75.00 €;40;38
*;*;01/10/2029;20/09/2024;"HP WORKSTATION Z1 G9 + HP MONITOR 27"" + WIF";60;*;*;BNP 70;*;A1F45655;fabio;Architetto Giorgio Ciarallo;aperto;70.00 €;40;39
*;*;31/03/2029;01/11/2024;"MAC BOOK PRO TBAR 16"" + MAC BOOK AIR 13"" + N.2 OFFICE";60;*;*;*;80;;fabio;BAVERA SRL;aperto;80.00 €;41;40
;;01/04/2027;30/03/2022;N.3 IPHONE 13 PRO 128 GB;60;;;BNP 75;;;fabio;BELFIORE 5 SRL;aperto;75.00 €;43;41
;;01/10/2028;07/09/2022;KIT ELIMINACODE;72;;;BNP 85;;;fabio;BELFIORE 5 SRL;aperto;85.00 €;43;42
;;31/08/2027;01/09/2022;"MAC BOOK AIR 16"" (RAM 64GB SSD 1TB)";60;;;;80;;fabio;BIOMEDICA TORTONESE;aperto;80.00 €;45;43
*;*;01/10/2027;22/07/2022;CENTRALINO S20 + TELEFONO CORDLESS + N.5 TELEFONI FISSI;60;*;*;BNP 49;;;fabio;BRUNI AGOSTINO & F SNC;aperto;49.00 €;50;44
*;*;;;MONTE ORE N.66;*;*;*;*;*;;fabio;Bernard Controls Italia Srl;aperto;2700.00 €;51;45
*;*;;01/09/2020;TOTEM TERMOSCANNER;*;*;*;*;*;;fabio;Bernard Controls Italia Srl;aperto;0.00 €;51;46
5500 TANDEM EPSON;1350 TANDEM EPSON;01/01/2026;18/11/2020;EPSON ENTERPRICE C20600D4TW;60;0.01272;0.1113;BNP 330;;A1C37817;fabio;Bernard Controls Italia Srl;aperto;330.00 €;51;47
*;*;;;PROGETTO SOFTWARE DOCUMENTALE;*;*;*;*;;;fabio;Bernard Controls Italia Srl;aperto;0.00 €;51;48
*;*;01/01/2027;15/10/2021;IPHONE 12 128GB + APPLE CARE (aperto ma ma gia sostituito);60;*;*;BNP 20;;A1D01526;fabio;Bernard Controls Italia Srl;aperto;20.00 €;51;49
;;01/01/2028;27/10/2022;(IPHONE 14 PRO 512GB estinzione parziale ma non effettiva per finanziaria) + APPLE CARE + IPHONE 14 256GB + iphone 14 pro 128gb SPOSTATO da noleggio interno 2023;60;;;BNP 55;;A1D97079;fabio;Bernard Controls Italia Srl;aperto;55.00 €;51;50
;;01/01/2030;07/11/2024;IPHONE 16PRO 512GB TITANIO SABBIA;60;;;BNP 35;;A1F53986;fabio;Bernard Controls Italia Srl;aperto;35.00 €;51;51
;;30/09/2029;01/10/2024;IPHONE 15 256 GB NERO + APPLE CARE;60;;;;25;;fabio;Bernard Controls Italia Srl;aperto;25.00 €;51;52
0 IN TANDEM ENTERPRICE;1100 IN TANDEM ENTERPRICE;01/01/2030;17/12/2024;CENTRALINO + SWITCH POE + 21 TELEFONI + N.2 CORDLESS + N.2 RAGNI + c878 (beni lasciati da vecchio contratto) + EPSON C879;60;0.012;0.11;BNP 320;;A1F67325;fabio;Bernard Controls Italia Srl;aperto;320.00 €;51;53
;;01/01/2030;17/12/2024;N.8 IPHONE 15 256GB + REC SAFE (7 NERI + 1 VERDE) + SAMSUNG GALAXY S24 ULTRA 256GB NERO+ ESTENSIONE;60;;;BNP 180;;A1F67784;fabio;Bernard Controls Italia Srl;aperto;180.00 €;51;54
6000;1350;01/09/2030;01/09/2025;EPSON AM-C6000 4 CASSETTI;60;0.012;0.11;BNP 330;;A1G14702;fabio;Bernard Controls Italia Srl;aperto;330.00 €;51;55
;;01/01/2028;01/01/2023;N.2 HP NOTEBOOK 290 G9 COMPLETI DI OFFICE H&B 2021;60;;;GRENKE 45;;;fabio;C&B SERRAMENTI SRL;aperto;45.00 €;52;56
*;*;01/12/2027;01/12/2022;"HP SERVER ML350G10 (RAM 32GB + ALIMENTATORE + N.3 HD 600GB ) + MICROSOFT WINSERVER STANDARD 2022 + 6 CALL + N.1 HP WORKSTATION Z2 G9 + N.1 OFFICE H&B 2021 + N.4 HP PC 400 G9 + N.4 MONITOR 21,5"" + N.2 MONITOR 24"" + N.2 MONITOR 27"" + N.1 UPS 1600 VA + N.8 TELEFONI FISSI + N.7 CORDLESS + TV SAMSUNG 65"" + N.2 ROUTER ASUS ( GT-AX6000 - GT-AXE16000 )  (in finanziaria 1 workstation in piu + 1 pc in piu ritirati 08/04/2024)";60;*;*;IFIS 972,52 nuovo canone dopo estinzione parziale Xerox - 03/2024;*;14062940;fabio;CANFOR UTENSILI SRL;aperto;97252.00 €;54;57
;;01/10/2027;20/07/2022;N.2 HP PROBOOK 450 G8 + OFFICE + ANTIVIRUS + PISTOLA BARCODE;60;;;BNP 75;*;A1D85227;fabio;CANFOR UTENSILI SRL;aperto;75.00 €;54;58
3500;200;01/07/2028;01/07/2023;EPSON ENTERPRISE am-c6000 + 2 cassetti + (RITIRATA 01/2024 A FRONTE NUOVO NOLEGGIO XEROX - OK FABIO CONTRATTO RESTA APERTO)n.2 switch poe +( NOTEBOOK + OFFICE + NAS 2 dischi 2 tb  + CENTRALINO 7 TELEFONI + 6 CORDLESS + SAMSUNG TABLET + 7225 (NON CONSEGNATA)) materiale vecchio contratto;60;0.007;0.07;IFIS 840;;;fabio;CANFOR UTENSILI SRL;aperto;840.00 €;54;59
3500;200;;;"XEROX C8145 + HP WORKSTATION Z2 TOWER G9  + OFFICE + SAMSUNG TABLET + TV SAMSUNG 43"" + LOGITECH SOUNBAR + INTERFONO CON MICROFONO + SAMSUNG GALAXY S24 ULTRA 1TB + N.2 XIAOMI 13T PRO +( XEROX C8035 + HP WORKSTATION ZBOOK 16 G10 + SAMSUNG GALAXY S23 ULTRA 1TB + SAMSUNG TV 32"" IN DDT MA NON CONSEGNATI)";60;0.007;0.07;BNP 1000 + IFIS 713,88;;14139922 - A1E95060;fabio;CANFOR UTENSILI SRL;aperto;171388.00 €;54;60
;;01/08/2029;11/07/2024;FIREWALL UBIQUITY + N.3 REMARKABLE + CUSTODIA + PENNINO;60;;;IFIS 150;;14172993;fabio;CANFOR UTENSILI SRL;aperto;150.00 €;54;61
;;;01/08/2024;MIGRAZIONE N.8 MAIL SU MICROSOFT 365;;;;;480;;fabio;CANFOR UTENSILI SRL;aperto;480.00 €;54;62
;;01/10/2029;04/09/2024;MOBILI PER UFFICIO;60;;;BNP 695,53;;A1F41141;fabio;CANFOR UTENSILI SRL;aperto;69553.00 €;54;63
;;01/01/2030;29/11/2024;MOBILI PER UFFICIO ( N.1 MOBILE ZONA PIANO TERRA - N.2 TAVOLI - N.10 SEDIE ) + N. 2 HP PROBOOK 470 G10 (I5+I7) + PC DELL INSPIRON 3030 SFF + XIAOMI BUD 5 + N.2 ROBOT ECOVAX X5 + FRIGORIFERO + DYSON PURIFIER  HUMMDIFY + COOL;60;;;BNP 1200;;A1F62428;fabio;CANFOR UTENSILI SRL;aperto;1200.00 €;54;64
;;01/07/2030;06/06/2025;MOBILI (TAPPARELLE DA SOSTITUIRE);60;;;BNP 201,16;;A1G01730;fabio;CANFOR UTENSILI SRL;aperto;20116.00 €;54;65
;;01/07/2030;06/06/2025;RIELLO UPS 8000 VA + N.2 HARD DISK X SERVER + N.2 TEL WIFI + STAMPANTE ZEBRA ZT231+ ESTENSIONE + ECOVAX X9;60;;;BNP 498,84;;A1G01735;fabio;CANFOR UTENSILI SRL;aperto;49894.00 €;54;66
IN TANDEM CONTRATTO XEROX;IN TANDEM CONTRATTO XEROX;01/08/2030;03/07/2025;"EPSON EM-C800 + ARREDO + SCRIVANIA + HP PC 290 G9 + MONITOR 21,5"" + MONITOR 27"" + N.3 TEL T58W";60;;;BNP 890;;A1G11651;fabio;CANFOR UTENSILI SRL;aperto;890.00 €;54;67
;;;01/07/2025;LINEA DATI;;;;;;;fabio;CANFOR UTENSILI SRL;aperto;0.00 €;54;68
;*;;;PALMARE;;*;*;;;;fabio;CANFOR UTENSILI SRL;aperto;0.00 €;54;69
;0.007;;;"XEROX C8145 + HP WORKSTATION Z2 TOWER G9  + OFFICE + SAMSUNG TABLET + TV SAMSUNG 43"" + LOGITECH SOUNBAR + INTERFONO CON MICROFONO + SAMSUNG GALAXY S24 ULTRA 1TB + N.2 XIAOMI 13T PRO +( XEROX C8035 + HP WORKSTATION ZBOOK 16 G10 + SAMSUNG GALAXY S23 ULTRA 1TB + SAMSUNG TV 32"" IN DDT MA NON CONSEGNATI)";60;3500;200;BNP 1000 + IFIS 713,88;;14139922 - A1E95060;fabio;CANFOR UTENSILI SRL;aperto;171388.00 €;54;70
;;;01/07/2021;SVILUPPO SITO WEB CASELIA;*;;;;*;;fabio;CASELIA - STUDIO VIDIGULFO 99 SAS DI ELIA ARTURO &C;aperto;0.00 €;56;71
;;;01/07/2021;mmobiliare 74;12ESI RINNOVO AUTOMATICO ANNUALE;;;;240 ANNO;;fabio;CASELIA - STUDIO VIDIGULFO 99 SAS DI ELIA ARTURO &C;aperto;0.00 €;56;72
1500;650;01/01/2029;26/10/2023;XEROX VERSALINK C7025 + FAX;60;0.00816;0.0816;BNP 110;*;A1E79073;fabio;CASELIA - STUDIO VIDIGULFO 99 SAS DI ELIA ARTURO &C;aperto;110.00 €;56;73
;;;01/06/2025;CREAZIONE CASELLA PEC ARTURO.ELIA@PEC.CASELIA.IT;rinnovo autoatico;;;;50 ANNO;;fabio;CASELIA - STUDIO VIDIGULFO 99 SAS DI ELIA ARTURO &C;aperto;0.00 €;56;74
;;01/07/2030;06/06/2025;QUBI PC MSI;60;;;BNP 25;;A1G05542;fabio;CASELIA - STUDIO VIDIGULFO 99 SAS DI ELIA ARTURO &C;aperto;25.00 €;56;75
;;01/01/2027;01/01/2022;LENOVO IDEA PAD FLEX 5 + N.4 HP AIO ELITONE 800 G6+ OFFICE;60M;;;GRENKE 185;*;;fabio;CASSANI & SERGI ARCHITETTI ASSOCIATI;aperto;185.00 €;57;76
;;01/06/2027;13/05/2022;N.2 NOTEBOOK HP 250 G8 + OFFICE;60M;;;IFIS 40;*;;fabio;CASSANI & SERGI ARCHITETTI ASSOCIATI;aperto;40.00 €;57;77
;;01/10/2028;22/09/2023;N.5 IPHONE 14 PRO 256GB + ESTENSIONE;60M;;;IFIS 155;*;;fabio;CASSANI & SERGI ARCHITETTI ASSOCIATI;aperto;155.00 €;57;78
;;01/11/2028;26/10/2023;IPAD PRO 11 WI- FI + CELLULAR 512GB;60M;;;IFIS 48;*;;fabio;CASSANI & SERGI ARCHITETTI ASSOCIATI;aperto;48.00 €;57;79
;;01/06/2029;22/05/2024;"HP WORKSTATION Z1 G9 (I9 32GB SSD 1TB SCHEDA GRAFICA 12TB) + ESTENSIONE 5Y + HP MONITOR 27"" + OFFICE 365";60;;;IFIS 55;*;;fabio;CASSANI & SERGI ARCHITETTI ASSOCIATI;aperto;55.00 €;57;80
;;31/08/2029;01/09/2024;NAS SYNOLOGY DS224+ COMPLETO 2HD 4TB;60;;;;*;25;fabio;CASSANI & SERGI ARCHITETTI ASSOCIATI;aperto;25.00 €;57;81
;;01/01/2030;19/12/2024;"HP NOTEBBOK 250 G10 + TV 55"" +N.2 POLTRONE PRESIDENZIALI";60;;;IFIS 50;*;14209030;fabio;CASSANI & SERGI ARCHITETTI ASSOCIATI;aperto;50.00 €;57;82
;;01/04/2030;01/04/2025;CONDIZIONATORE HAIER (acquistato dal cliente);60;;;GRENKE 165;*;127-42583;fabio;CASSANI & SERGI ARCHITETTI ASSOCIATI;aperto;165.00 €;57;83
1000;200;01/01/2029;03/11/2023;EPSON C869 USATA;60;0.00714;0.0714;BNP 100 UNICO CONTRATTO;;;fabio;CASTELLEONE CASA 86 SAS;aperto;100.00 €;58;84
5000;4200;01/04/2029;01/04/2024;EPSON AMC-4000;60;0.007;0.07;FIS 360;;14156064;fabio;CENTRO SERVIZI TECNICO AMBIENTALI SRL;aperto;360.00 €;59;85
;;01/07/2029;04/07/2024;N.3 ASUS EXPERT NOTEBOOK B1 + ANTIVIRUS;60;;;IFIS 75;;14174934;fabio;CENTRO SERVIZI TECNICO AMBIENTALI SRL;aperto;75.00 €;59;86
;;;01/10/2024;N.38 ANTIVIRUS PANDA AND POINT PROTECTION 3 Y ( RINNOVO TRIENNALE);VENDITA;;;;;;fabio;CENTRO SERVIZI TECNICO AMBIENTALI SRL;aperto;0.00 €;59;87
;;;01/10/2024;NAS SYNOLOGY DS 923+ COMPLETO N.4 HD 45TB;VENDITA;;;;;;fabio;CENTRO SERVIZI TECNICO AMBIENTALI SRL;aperto;0.00 €;59;88
;;;01/11/2024;AUMENTO SPAZIO CLOUD 2TB - SPAZIO TOTALE DA 10TB A 12TB;;;;;25;;fabio;CENTRO SERVIZI TECNICO AMBIENTALI SRL;aperto;25.00 €;59;89
;;01/03/2030;01/03/2025;hp server reck proliant dl 360 g11 ( ram 64gb - hd 8 2,4 tb + 2 alimentatori + windows server standard + 40 call + garanzia 5y + (NAS SYNOLOGY COMPLETO DI N.4HD 2TB + FRITZBOX 2004 + ARMADIO RAC) lasciati vecchio contratto;60;;;ifis 215;;14221801;fabio;CENTRO SERVIZI TECNICO AMBIENTALI SRL;aperto;215.00 €;59;90
3500;500;17/07/2031;18/06/2025;EPSON AM-C6000 (CANFOR);72;0.006;0.06;BNP 195;;A1G08028;fabio;CESARI SRL;aperto;195.00 €;60;91
500;100;01/11/2027;19/10/2023;EPSON C579;48;0.0055;0.055;IFIS 90;;;fabio;CETA SPA;aperto;90.00 €;61;92
;;01/05/2028;02/04/2024;EPSON PLOTTER SURECOLOR SCT5405 + GARANZIA + 4 KIT;48;;;IFIS 138;;;fabio;CETA SPA;aperto;138.00 €;61;93
500;100;01/08/2030;11/07/2025;EPSON EM-C800;60;0.0055;0.055;IFIS 90;;14250337;fabio;CETA SPA;aperto;90.00 €;61;94
*;*;;;CABLAGGIO;*;*;*;*;*;;fabio;CHEMICAL GROUP SRL;aperto;500.00 €;62;95
*;*;31/10/2025;01/11/2020;"N.2 IMAC 21.5"" (I5/8GB/256GB) + N.2 APPLE CARE + HP 200 G4 AIO";60;*;*;*;80;;fabio;CHEMICAL GROUP SRL;aperto;80.00 €;62;96
*;*;31/10/2025;01/11/2020;"IMAC 27"" NANOTEXTURE + IMAC 27"" + N.2 APPLE CARE + N.3 IPAD AIR 64GB WIFI + CELL + TASTIERE + APPLE CARE";60;*;*;*;270;;fabio;CHEMICAL GROUP SRL;aperto;270.00 €;62;97
3000;7500;31/03/2030;01/04/2025;"XEROX C8270 V_F ( COMPLETA DI KIT DI TRASPORTO + UNITA' DI FINITURA LIBRETTO BUSINESS READY 2000 FOGLI + CARTELLA C/Z) + N.2 LENOVO ALL IN ONE 27"" + DELL XPS 16 + ESTENSIONE + HP PROBOOK 460 G11 + ESTENSIONE (PER DLL ELITEBOOK 860) + HP ALL IN ONE 32"" + WINDOWS 11 + ESTENSIONE (PER DLL 400 G9 + MONITOR 32"") + N.2 APPLE MAC STUDIO + MOUSE + TASTIERA + N.2 MONITOR 27"" + ESTENSIONE";60;0.007;0.07;DLL 1080;300;;fabio;CHEMICAL GROUP SRL;aperto;1380.00 €;62;98
*;*;01/08/2028;12/07/2023;MICROSOFT SURFACE PRO 9 COMPLETO DI OFFICE PENNINO COVER + TASTIERA PORTA PENNINO;60;*;*;BNP 50;;;fabio;CHEMICAL GROUP SRL;aperto;50.00 €;62;99
*;*;31/03/2030;01/04/2025;"HP PC 400 G9 + N.2 MONITOR SAMSUNG 27""";60;*;*;;30;;fabio;CHEMICAL GROUP SRL;aperto;30.00 €;62;100
;*;;;CABLAGGIO;*;*;*;*;;;fabio;CHEMICAL GROUP SRL;aperto;500.00 €;62;101
4500;1500;01/01/2025;01/01/2020;Xerox C8030 + fax (+ s.o. + server ML310 in DDt non consegnato) + google app;60;0.01007;0.1007;GRENKE 355 ci faranno fattura top up ogni 3 mesi fino a scadenza;*;;fabio;CHRYSALIS S.R.L COMUNICATION;aperto;355.00 €;63;102
*;*;01/04/2025;01/10/2019;HP NOTEBOOK 450 G6 + OFFICE;66;*;*;BNP 25;*;;fabio;CHRYSALIS S.R.L COMUNICATION;aperto;25.00 €;63;103
*;*;01/10/2025;12/02/2020;N.4 PROBOOK 455R + 4 OFFICE + ARMADIO REC + QNAP NAS + N.4 HD DA 2 TB + QNAP NAS + N.4 HD DA 1 TB + LICENZA PHOTOSHOP (SOLO PER 1 ANNO);66;*;*;BNP 260,53;*;A1B78578;fabio;CHRYSALIS S.R.L COMUNICATION;aperto;26053.00 €;63;104
*;*;31/10/2026;01/11/2021;DELL NOTEBOOK VOSTRO 5510 (I7 16GB 512 GB GRAFICA 2GB ) + OFFICE RECUPERATO;60;*;*;*;40;;fabio;CHRYSALIS S.R.L COMUNICATION;aperto;40.00 €;63;105
*;*;31/10/2026;01/11/2021;DELL NOTEBOOK VOSTRO 5510 (I7 16GB 512 GB GRAFICA 2GB ) + OFFICE RECUPERATO;60;*;*;*;40;;fabio;CHRYSALIS S.R.L COMUNICATION;aperto;40.00 €;63;106
*;*;;01/01/2023;N.20 LICENZE MICROSOFT 365 BUSINESS STANDARD (N.14 GENNAIO 23 + 1 MAGGIO 23 + 1 OTTOBRE 23 + 2 DICEMBRE 23 + 2 dicembre 24);;*;*;*;230;;fabio;CHRYSALIS S.R.L COMUNICATION;aperto;230.00 €;63;107
*;*;;01/01/2023;N.6 LICENZE MICROSOFT EXCHANGE ONLINE;12ESI RINNOVO AUTOMATICO;*;*;*;225 ANNO;;fabio;CHRYSALIS S.R.L COMUNICATION;aperto;0.00 €;63;108
*;*;;01/04/2023;CONTRATTO DI CONSULENZA ED ASSISTENZA INFORMATICA;12ESI RINNOVO AUTOMATICO;*;*;*;1200 ANNO;;fabio;CHRYSALIS S.R.L COMUNICATION;aperto;0.00 €;63;109
*;*;01/01/2027;13/12/2023;N.5 DELL NOTEBOOK VOSTRO 3520;36;*;*;BNP 87;;;fabio;CHRYSALIS S.R.L COMUNICATION;aperto;87.00 €;63;110
4000;1000;01/10/2029;11/07/2024;EPSON ENTERPRICE AMC-4000 + FAX (2 CASSETTI + STAND);60;0.008;0.08;BNP 260;;A1F31886;fabio;CHRYSALIS S.R.L COMUNICATION;aperto;260.00 €;63;111
;;;01/01/2025;LICENZA MICROSOFT ENTRA ID P2(AUTENTICATOR);60;;;;110 ANNO;;fabio;CHRYSALIS S.R.L COMUNICATION;aperto;0.00 €;63;112
