CAP;Cell;Citta;Email;IBAN;Indirizzo;NoteCliente;PartitaIVA;PersonaRiferimento;Proprietario;ProssimaVisita;ProssimoRecall;RagioneSociale;SDI;TMK;Telefono;UltimaVisita;UltimoRecall;﻿ClienteID;RowID
20852;;VILLASANTA;vendite.adautomobili@gmail.com;;VIA PROVINCIALE PER LESMO 2;cliente passato da savi--21/12 /23 AUGURI---13/2/24 in visita---26/7/24 saluti estivi---29/7/25 B.V.;7857570969;SIG.ANTONELLO;fabio;;;AD AUTOMOBILI;USAL8PV;;396064241;05/05/2025;29/07/2025;11;11
20019;;Settimo Milanese;VENDITE@ADAUTOMOBILI.COM;;Via Darwin 18;11/2018 tutto ok  ---visitato 5/2/19---2/9/19 dobbiamo installare microfono ma de luca non c'e---(ANCHE CLIENTE A.B.)---13/12/19 chiamo per auguri mi dice che ha chiamto fabio per cordles---15/12/20 auguri---29/7/21 saluti---25/10 chiamo per saluti. stanno aspettando sostituzione di una macchina---26/5/22 mi chiama la sig.ra marilena e mi dice che stanno spettando di sostituire la c 405 che non funziona. fabio ne e informato la richaimo per dirle che come gia detto a sabrina in questo momento non abbiamo rifornimento prodotti e che stiamo aspettando.--28/7/22 buone vacanze--20/12/22 auguri---10/5/23 visita---- 21/12/23 AUGURI---3/7/24 in visita--7/11/24 chiamo per intervento tecnico--18/11/24 IN VISITA---29/7/25 B.V.;;SABRINA- marilena;fabio;;;AD PRODUZIONE SRL;;;233502497 - SIG.DELUCA 335246271;21/03/2025;29/07/2025;12;12
27029;;VIGEVANO;amministrazione@aequaservizi.it;;VIA P.BERTOLINI 9/E;21/12/23 AUGURI-- 18/1/24 app---22/7/24 in visita---16/12/24 B.N.---29/7/25 b.v.;;SIG.OLIVARI (titolare)- SIG.RA DANIELA(impiegata);fabio;;;AEQUA SERVIZI SRL;;;381092170;22/07/2024;29/07/2025;13;13
;;;;;;;;;fabio;;;Contatori;;;;;;14;14
26855;;LODI VECCHIO;info@agsunerg.it;;VIA PRIVATA EMILIA 9/11;28/7/25 B.V.;12589420692;SIG.GIANLUCA CARRA;fabio;;;AG - SUN ERG SRL;M5UXCR1;;371464098;01/06/2025;29/07/2025;15;15
27029;;VIGEVANO;direzione@agroupitali.it;;VIA MONTEBELLO 20;7/11/24 paola non c'e parlo con una collega e faccio marketing. Se hanno bisogno ci contatterrano---30/7/25 NON RIECO A CONTATTARLA;;SIG.RA PAOLA;fabio;;;AG GROUP ITALIA SRL;;;381988007;;30/07/2025;16;16
20021;;BOLLATE;studio@amministrazioniagora.it;;VIA CADUTI BOLLATESI 38;11/4/22 lui non c'e auguri e saluti---20/12/22 auguri---28/7/23 b.v.--21/12/23 AUGURI--- 27/3/24 saluti---26/7/24 saluti b.v.sig.ra che riponde molto felice della chiamata---7/11/24 marketing con impiegta che riferisce---30/7/25  N.R.;10749890967;SIG.MARIO MAGRISI;fabio;;;AGORA' GROUP SRLS;;;0249670051 - 3385603866 SIG.RA ANDRIGO;22/10/2020;30/07/2025;17;17
10098;;RIVOLI;akela.direzione@gmail.com;;CORSO FRANCIA 210/A;7/11/24 dice che si incastrano spesso i foglia avvisato fabio dice di lasciare cosi;12429330017;SIG.ALESSANDRO RANDONE;fabio;;;AKELA SRLS;M5UXCR1;;3469532418;;07/11/2024;18;18
20014;;NERVIANO;gianlucaroselli70@gmail.com;;VIA GIUSEPPE GARIBALDI 102;in visita 12/7---23/12 CHIAMATO PER AUGURI MI COMUNICA CHE CAMBIERa P.IVA E MI CHIEDE COSA DEVE FARE... chiedo a cla. Mi dice che deve fare comunicazione scritta a noi e alla finanaziarie per attivare la pratica... a cui daranno risposta . Non e automatico che si possa voltare il contratto---11/6/20 tutto ok---29/9/20mandata mail per chiusura contratto.quando scade fatturare 250 x riscatto beni---26/10/21 saluti---12/4/22 saluti---10/1/23 N.R.24/1/23 chiamo per app. non puo dice che chiama lui fabio tra una decina di gg - 09/03/2023 Contattato Alessandro Bnp conferma che il contratto arrivera a naturale scadenza il 01/07/2023---20/6/23 fatturiamo 33  a fine ctr per riscatto---10/1/24 N.R. X SALUTI--11/1/24 n.r.12/1/24 saluti---30/7/24 saluti chiaccherata lunghissima.27/8/24 tento app x fabio n.r.--19/12/24 b.n.-- 28/7/25 B.V.;;ROSELLI;fabio;;;AL.AN.SAS DI GIANLUCA ROSELLI & C;;;348/4756204;09/02/2023;28/07/2025;19;19
20073;;OPERA;"amministrazione@aldierisolutions.it;'luca.marzi@alsol.it'";;VIA FORNACE CAVALLINO 13/A;20/12/2022 chiamo per auguri di natale gradisce e ricambia - 22/05/2023 non riesco a parlare con lui perche e molto impegnato, ma lascio detto alla segretaria che riferisce (chiamata di saluti e se occorre qualcosa) - 26/07/2023 visita di cortesia fissata per mercoledi 02/08 alle ore 9,00 - 06/03/2024 non risponde - 26/07/2024 chiamo per saluti e buone vacanze ma prima e sempre occupato poi non risponde nessuno - 30/07/2024 ci riprovo sempre per saluti, ma non risponde ancora nessuno - 21/10/2024 visitato cliente da risentire per auguri di natale, forse a gennaio rivedono qualcosa - 18/12/2024 ci provo per due volte ma e sempre in riunione - 19/12/2024 parlo con lui per auguri di natale e trasloco non prima di fine gennaio, ci chiamera lui - 20/05/2025 nei mesi scorsi ho provato a sentirlo diverse volte per delle offerte, ma invano perche presi col trasloco, oggi 20/05 chiamo per visita di cortesia fissata per mertedi 26/05, e chiedo di inviarci comunicazione ufficilale del nuovo indirizzo, ricevuta e girata a Manu e Claudia -;;SIG.MAURO GALLI;fabio;;;AL.SOL SRL;M5UXCR1;;0298249238 - 0292277508;21/10/2024;;20;20
20026;;Novate Milanese;commerciale@algam.com;;VIA FRATELLI BARACCA 11;11/2018 tutto ok 8/4/19 visita--7/10/19 tutto ok13/12/19 fatti auguri.---9/1/20 preso app----11/5/20 OGGI NON C' MA HANNO RIAPERTO---27/7 /20 saluti estivi...---20/10/20 n.r.14/12 passa fabio---11/2/21 saluti tutto ok---29/7/21 saluti--8/10/21 app---11/4/22 auguri e saluti(impiegata)---29/7/22 saluti buone vacanze.---15/12/22 gi' cercato in precedenti occasioni ... n.r.--- 4/23 in visita---17/11/23 sentito per varie .saluti--- 21/12/23 AUGURI---27/3/24 saluti---5/24 in visita---26/7/24 non c'e---31/10/24 in visita--17/12/24 IN VISITA---21/5/25 app---28/7/25 B.V.;;SIG. SPINELLI;fabio;;;ALGAM;;;02/39100305;29/05/2025;28/07/2025;21;21
20123;;MILANO;fra.dmg@gmail.com;;VIA CARDUCCI 18;26/7/24 non risponde---7/11/24 n.r.---16/12/24 FINALMENTE LO TROVO TUTTO BENE. B.N.---29/7/25 occ;9788050962;SIG.FRANCESCO DI MAGGIO;fabio;;;ALL IN DI FRANCESCO DI MAGGIO(ma ve);KRRH6B9;;3454074554;;29/07/2025;22;22
20832;;DESIO;giulia@alphasar.net;;VIA STURZO 15;11/2018 tutto ok---15/5/19 cerco app per saluti ma non riesco a contattare--1/6/19 ok visita---23/10 visitato con andrea note post app chiamre a gennaio per centralino(Ho installato tempo fa 2 centralini Wildix.A.B.)---17/2/20 lo cerco per app con andrea e in ferie tutta settimna---7/20 app per centralini---20/10/20 tutto ok---15/12/20 auguri---24,2/21 APP---26/10/21 saluti(impiegata)---2022 fabio in stretto contatto per server e varie---29/7/22 buone vacanze---20/12/22 auguri--29/5/23 tento app---21/12/23 AUGURI---22/2/24 fabio mi comunica che davide fumagalli non lavora piu li. contattre giulia pensotti.26/7/24 b.v.---7/11/24 marketing--13/5/25 app---28/7/25 B.V.;;Giulia Pensotti(TITOLARE FRANCO);fabio;;;ALPHASAR;;;0362/305805;13/05/2025;28/07/2025;23;23
24060;;CASAZZA;amministrazione@poliambulatorioamae.it;;VIA NAZIONALE 4/F;Scrivi qui le tue note...;4834290167;SIG.LUCA GELPI;fabio;;;AMAE SRL POLIAMBULATORIO;X2PH38J;;3463474750;;;24;24
27100;;Pavia;Nuova Segreteria <segreteria@amministrazioni2t.com>;;Via Ferrini 2/I;11/2018 tutto ok21/1/19 visita 6/5/19 telefonata da fabio - manu 09/12/2019 comunicata variazione societaria chiesto mail anche a ifis 12/05/2020 lui non c'e, hanno riaperto ma non al pubblico.---1/9/20 in visita---15/12/20 auguri---2021 e in contatto fabio 1/9/21 fabio in visita---21/12/23 CHIAMO PER AUGURI N.R.---11/1/24 il contratto per 2 iphone 13 con sc.10/26 x 55  con ifis. viene chiuso e riaperto per smart watch e iphone 15. la parte interna restera invariata . 1 iphone 13 verra restituito e l'atro riscattato x  500---15/2/24 in visita---23/7/24 in visita---20/12/24 b.n.29/7/25 occ;;TARRINI (3355802314);fabio;;;AMMINISTRAZIONI 2T S.R.L. (Amministrazioni Tarrini Sas);;;38220303;23/07/2024;29/07/2025;25;25
21042;;CARONNO PERTUSELLA;apotec@apotec.it;;VIA LAZZARETTO 341;27/03/2024 chiamo per auguri di pasqua, dice che deve abituarsi al ventralino, a volte quando deve passare la chiamate fa fatica perche si blocca, se persiste ci chiama - 26/07/2024 chiamo per saluti e buone vacanze - 7/11/2024 parlo con Samanta, centralino tutto bene, dice solo che il tecnico della wind e sparito, ma che noi non c'entriamo - 18/12/2024 auguri di Natale, tutto bene, ringrazia;2155980127;SIG.ANDREA;fabio;;;APOTEC SRL;OCCDHSV;;02 9906 7538;14/05/2024;27/03/2024;26;26
26013;;CREMA;federica.grutti@arcocase.com;;VIA GRIFFINI 26;20/12/2022 parlo con Federica per auguri di natale - 28/07/2023 parlo con perolini per saluti e anticipo che magari a settembre fabio passa per una visita di cortesia - 18/10/2023 visita di cortesia - 05/03/2024 chiamo per saluto, Federica simpatica, scherziamo, tutto bene nulla da segnalare - 26/07/2024 chiamo per saluti e buone vacanze - 7/11/2024 federica non c'e piu, parlo con il sig. Corrado, ricordo altri dispositivi, dice che procede tutto bene - 19/12/2024 auguri di natale apprezzati - 24/10/2025 parlo con Tiziana, procede tutto bene;;SIG.PEROLINI - SIG.RA TIZIANA;fabio;;;ARCO CASE;;;373257778;18/10/2023;24/10/2025;27;27
20097;;SAN DONATO MILANESE;info@scaffalearredo2001.com;;VIA G.MARCORA 87;26/07/2024 parlo con lui per saluti e buone vacanze, apprezza moltissimo - 21/10/2024 visita di cortesia - 19/12/2024 auguri di natale apprezzati;11571030961;SIG.MAURIZIO;fabio;;;ARREDO 2001 SRL;arredo.2001@pec.it;;298241571;12/11/2024;;28;28
20900;;MONZA;atapcontabilita@gmail.com;;PIAZZA GARIBALDI 9;27/3/24 parlo con l'impiegata la sig.ra bordino non c'e ... sono sempre molto scortesi.----26/7/24 b.v.---16/12/24 saluti b.n.---29/7/25 n.r.;4079330157;SIG.RA CHIARA(monza 039/2300407) - SIG.RA VALERIA bordino (titolare);fabio;;;ATAP SOCIETA' COOPERATIVA;QCNN53Y;;255181667;;29/07/2025;29;29
;;**;Zerbino Alessandro <Alessandro.Zerbino@atm.it>;;**;*;;SIG.ZERBINO;fabio;;;ATM;;;248036233;;;30;30
26013;;CREMA;laura.gipponi@auraoffice.com;;VIA ARMANDO DIAZ 37;21/12/2022 chiamo per auguri di natale, graditi e ricambiati - 20/04/2023 visita di cortesia - 28/07/2023 chiamata di buone vacanze, molto apprezzata - 05/03/2024 chiamata di cortesia, va tutto benissimo e apprezza tantissimo la chiamata - 26/07/2024 chiamo per saluti e buone vacanze, apprezza molto - 7/11/2024 lei carinissima sempre, propongo stampante ma su questa e da anni affezionata al suo fornitore vicino a lei, poi mi chiede se anticipatamente c'p la possibilita di sostituirle il PC con uno piu aggiornato, senza urgenza, dice che ci aggiorniamo a inizio anno px;;SIG.LA LAURA GIPPONI;fabio;;;AURA OFFICE SERVICES DI LAURA GIPPONI;;;37380522;20/04/2023;05/03/2024;31;31
21050;;BISUSCHIO(VA);giuseppe@autocasconevarese.com;;VIA C.CANTU' N 3;Scrivi qui le tue note...;3766840122;GIUSEPPE CASCONE;fabio;;;AUTOCASCONE E C. SRL;SUBM70N;;0332/775690 / cell. 347 824 3515;;;32;32
24127;;Bergamo BG;;;Via Giosue Carducci, 8,;26/3/25 FABIO VA A PRESENTARSI---24/10/25 impiegata non sa nulla;;Noemi(IMPIEGATA)Nicolo e Francesco Foschetti;fabio;;;AUTORICAMBI FOSCHETTI SRL;;;035 256.071;26/03/2025;24/10/2025;33;33
;;BUSSERO;avv.cristiana@gammerigeremia.it;;PIAZZA CURIE 8;17/12/24 n.r. x auguri b.n.---29/7/25 b.v.;13301210962;AVV.TO CRISTIANA GEREMIA;fabio;;;AVV.TO CRISTIANA GEREMIA;;;3707165592;01/01/2024;29/07/2025;34;34
;;MILANO;avv.melissa@gammerigeremia.it;;VIA DELLE FORZE ARMATE 13;17/12/24 parlo con collaboratore b.n.---29/7/25 n.r.;13301220961;AVV.TO MELISSA GAMMERI;fabio;;;AVV.TO MELISSA TINDARA GAMMERI;;;3938915512;01/01/2024;29/07/2025;35;35
20121;;MILANO;a.pellegrinisica@giuristionline.com;;VIA BOSCHETTI 6;21/12/23 AUGURI---27/3/24 tutto ok--- 26/7/24 b.v.---7/11/24 saluti+marketing impiegata---16/12 /24 b.n.--- 29/7/25 b.v.;2007940410;AVV.TO SICA;fabio;;;AVVOCATO ATTILIO PELEGRINI SICA;SUBM70N;;276319112;;29/07/2025;36;36
20149;;MILANO;daniela@studiolegaletoso.it;;via bisceglie 76;gennaio 2019 inviata mail x saldo insoluti + comunicato rottura vetro Iphone X--10/7 n.r 11/7 n.r.18/7/19 TUTTO OK 25/9 FABIO va all'app 24/9 offre 1 iphone 11 e un samsung max  50 per 60 mesi---15/11/19 n.r. chiedere per offerta.18/11 n.r.--- 21/11/19 dice che settimana prossima da risposta per i telefoni.---17/12/19 la cerco per auguri di natale---31/1/20 tutto ok ...cerchera fabio per sostituzione telefoni nei prossimi giorni.--- 31/7/20 saluti estivi---20/10/20 tutto ok---11/2/21 n.r.--16/3/21 chaimata per saluti mi dice che deve sostituire i telefoni---settembre 21- appuntamento---11/4/22 tutto ok---29/7 saluti---30/5/23 mi mette giu riprovare--28/7/23 n.r.---21/12/23 CHIAMO PER AUGURI N.R.---9/1/24 n.r.--17/1/24 n. x app---27/3/24 prendo app. mi comunica che ha cambiato indirizzo .17/12/24 n.r. x auguri b.n.----29/7/25 n.r.;;DANIELA TOSO;fabio;;;AVVOCATO TOSO;;;347/9797497;22/04/2024;29/07/2025;37;37
20023;;CERRO MAGGIORE;amcem@cerromaggiore.otg;;PIAZZA ALDO MORO 1 (SEDE LEGALE ) - VIA CAPPUCCINI 3/5 (SEDE OPERATIVA);26/7/24 b.v.---27/11/24 IN CONTATTAO PER OFFERTE---29/7/25 b.v.;7640210964;SIG.RA ILARIA- ANDREA D'AQUILA;fabio;;;AZIENDA MULTISERVIZI CERRO MAGGIORE - da Ld Fasteners;UFCH5U;;0331421562 - 3313497518;;29/07/2025;38;38
20124;;Milano;"eduranti@studiodurantiep.it; gdelvantesino@studiodurantiep.it";;VIA SAN SENATORE 6/1;11/2018 tutto ok - 22/11/2018 chiama Ing.DelVantesino per centralino preso appuntamento 28/11 ---10/12/18 chiamo per sapere se  accettano offerta. Dice valutano in questi giorni(g)--17/1/19 telefono per sapere se hanno visto offerta centralini. No grazie. troppo incasinata(g) - 17/04/2019 comunicato cambio sede (m) - 06/05/2019 chiede modifica contratto con macchina piu piccola ---4/6/19 lo contatto perche e arrivata chiavetta di memeoria.vconsegna e installa federico.---10/10 venduto pc---31/1/20 non risponde 14/5/ saluti tutto ok---27/7 saluti tutto ok...8/9/20 in visita e contratti---15/12/20 auguri---16/3/21 saluti e chiaccherata con l'ing.---29/7/21 fornito pc ---25/10/21 saluti tutto ok---11/4/22 n.r.---1/8/22 richiede offerta x i pad---20/12/22 --30/5/23 saluti tutto ok. dice in visita dopo il 15 giugno--27/6/23 n.r.19/9/ in contatto per combio uffici---21/12/23 AUGURI N.R.27/3/24 saluti---26/7/24 non risponde---19/9/24 in visita---16/12/24 B.N.29/7/25 n.r.;;ARCH.ELENA DURANTI 338/7221669 (ing. Del valtesino);fabio;;;Architetto Elena Duranti;;;276316704;19/09/2024;29/07/2025;39;39
20123;;Milano;gciarallo@gmail.com;;VIA san vincenzo 20;11/2018 segnala cali di prestazione in riferimento alla work station--9/5/19-chiamato per rinnovo contratto puo tra 15 gg---fabio fa all'app. non e possibile al momento poiche e in un ufficio in affitto. 17/9/19 fabio dice di chiamare a gennaio.---16/1/20 fabio va all'appuntamento ma lui non c'e . stiamo cercando di fissare nuovo app.---2/3/20 n.r.---6/20 rinnovo contratti.--9/9/20 rinnovo contrtti15/12 n.r.16/3/21 n.r--29/7/21 saluti---4/6/22 CHIEDO X OFFERTA PC. DICE CHE E' PREMATURO--1/4/23 sentito per problematica risolta---21/12/23 CHIAMO PER AUGURI N.R.--17/1/24 n. r. per app---18/3/24 chiamo per app. saluti  ma mi dice che e troppo preso. mi ricorda che ha la macchina in sospeso da noi(A3)... infatti. --11/4/24 CERCO APP.DICE DI RICHIAMARLO TRA UN MESE ---21/5/24 dice che non e ancora a posto con il nuovo studio. richiamre tra un mese---20/6/24 n.r.28/6/24 preso app. nuovo indirizzo. via san vincenzo 20 milano---16/12 b.n.mi chiede uscita tecnica per inizio anno. comunicata a claudia---29/7/25  n.r.;;ARCH.CIARALLO;fabio;;;Architetto Giorgio Ciarallo;;;3387489985;01/09/2024;29/07/2025;40;40
20090;;BUCCINASCO;buccinasco@limmobiliare.com;;VIALE LOMBARDIA 20;Scrivi qui le tue note...;;SIG.RAPETTI;fabio;;;BAVERA SRL;;;24880196;;;41;41
20097;;SAN DONATO MILANESE;simone.taborri@bbs-srl.net;;VIA GIOVANNI PASCOLI 36/A;18/12/2024 parlo con Patrizia per gli auguri di natale, ringrazia e ricambia - 04/04/2025 provo a proporre visita, ma il titolare in questo periodo e preso, Patrizia dice di richiamare i primi di maggio - 21/05/2025 ci provo per affiancare a un appuntamento sul nuovo nel pomeriggio, ma il sig. Taborri c'e solo al mattino - 18/06/2025 ritento visita ma non riusciamo a conciliarci (chiede giorni gia per noi occupati), provamo a risentirci la seconda settimana di luglio;9441610152;SIG.TABORRI - SIG.RA PATRIZIA;fabio;;;BBS SRL;SUBM70N;;251620080;10/09/2024;;42;42
;;OPERA;studiobelfiore@libero.it;;VIA MARTIRI DI BELFIORE 5;22/5/23 n.r.---28/7/23 parlo con marino x buone vacanze mi dice di risentirci a settembre per qualche altra collaborazione---20/9/23 lo sento per diponibilta ---21/12/23 CHIAMO PER AUGURI N.R.---9/1/24 parlo con marino non sa chi siamo e non sa perce hanno noleggiato con noi cose che non servono---26/7/24 n.r.---7/11/24 parlo con belfiore che ancora mi comunica che lui non utilizza le nostre macchine e semplicemente attende la fine del ctr. ho avvisato fabio che mi dice di non chiamare piu;;SIG.ROVEDA / Sig. Marino 327/6219503;fabio;;;BELFIORE 5 SRL;T9K4ZHO;;257601832;;07/11/2024;43;43
20090;;BUCCINASCO;raq@bilco.it;;VIA LAZIO 87;gennaio 2019 da fissare appuntamento x offerta Mac (Giulia 16/01/2019)---21/5/19 ci pensa fabio;;SIG.OSVALDO COLOMBI;fabio;;;BILANCERIA COLOMBI;;;02/45713365;;;44;44
15057;;TORTONA;info@biomedicatortonese.it - info@studiosavarro.it;;CORSO REPUBBLICA 25;23/4/24 saluti - 23/07/2025 Sig.Giovanni Agrone ( 3382960090) e subentrato come amministratore ma non conosce la situazione contratti e dice di non avre i beni - passato tutto all'avvocato - fabio dice che se ne occupa solo lui -24/10/25 non chiamare;;SIG.RA MARIELLA BERTINELLI;fabio;;;BIOMEDICA TORTONESE;;;0131862002 - 3470191167 DOTT.SAVARRO;;;45;45
26019;;VAILATE;matteo.gianluca.bonetti@gmail.com;;VIA BORGHI INFERIORI 28;N.R--- 16/1/25 OTTOBRE 24 CHIEDE RINNOVO TECNOLOGICO. VEDI SCAMBIO MAIL;1774190191;SIG.BONETTI;fabio;;;BONETTI MATTEO GIANLUCA;matteo.gianluca.bonetti@pec.it;;3494786972;;;46;46
21045;;LAINATE;studiobragagnolo@gmail.com;;VIA PAGLIERA 17/3;7,12/22 cerco per reso telefoni.;;DOTT.BRAGAGNOLO;fabio;;;BRAGAGNOLO ALBERTO (INTERPROF);;;3474915918;;;47;47
23875;;OSNAGO;silvia.brivio73@gmail.com;;VIA ROMA 5;20/12/22 auguri---4/7/23 visita--21/12/23 AUGURI--27/3/24 saluti... dice che ha problemi con la stampante e che ci chiamera per un intervento ...---20/6/24 in visita--17/12/24 b.n.---29/7/25  b.v.;;SILVIA;fabio;;;BRIVIO ZAPPA;;;0399/280380;20/06/2024;29/07/2025;48;48
20094;;CORSICO;info@broart.it;;VIA CONCORDIA 72;18/10/2023 daniele dice di aver dato i ns contatti a Emanuele Pratelli della Icaros, sa chiama sappiamo chi e;4892880966;SIG.DANIELE;fabio;;;BROART SRL;G9HZJRW;;24471133;;;49;49
20011;;CORBETTA;bruni@sementibruni.com;;VIA MAZZINI 26;11/2/21 saluti ---20/12/22 auguri---28/7/23 saluti---9/1/24 tutto ok---26/7/24 saluti---17/12/24 b.n.;;BRUNI AGOSTINO;fabio;;;BRUNI AGOSTINO & F SNC;;;29779148;;;50;50
20017;;Rho;Massimo.palatucci@bernardcontrols.com;;Via Tanaro 13/E;11/2018 back up linea? Fabio parlato con Nuvoli 24/1/19 visita--23/7 preso app.17/12/19 auguri.---9/1/20 preso app---29/7/20 app.---11/9/20 app---11/12/20 auguri + biglietto-25/5/21 visita---12/10/21 offerta i phone 13---29/7/22 saluti. Buone vacanze---20/12/22 auguri---28/7/23 app---21/12/23 AUGURI---1/7/24 app---3/12/24 in visita--2/7/25 CERCO APP NON C'e;;SIG.MASSIMO PALATUCCI;fabio;;;Bernard Controls Italia Srl;RWB54P8;;0293185233 - int.212 chiara;16/07/2025;02/07/2025;51;51
26900;;LODI;commerciale@cebserramenti.it;;VIA FILIBERTO VILLANI 2;11/4/22 n.r.28/7/23 N.R.---21/12/23 N.R. ---27/3/24 non li trovo mai--- VEDI OFFICINE MUZZA;;SIG.RA CRISTINA;fabio;;;C&B SERRAMENTI SRL;;;37167062;;;52;52
138;;ROMA;sales@caltahotel.it;;VIA SAMBUCA PISTOIESE 57;*;;SIG.RA RAFFAELLA TIUS;fabio;;;CALTAHOTEL SRL;;;22411401;;;53;53
20157;;Milano;amministrazione@canfor.it;;Via Tridentina 4;11/2018 tutto ok 6/19 in visita--21/11/19 fabio vuol passare per natale 6/12/ ok---20/7 in visita---1/9/20 app---11/12/20 auguri + biglietto---11/2/21 saluti---27/7/21 in visita---11/10/21 richiamo per intervento tecnico---11/4/22 saluti tutto ok mi parla di un palmare... che stanno aspettando---18/7 in visita--20/12/22 auguri---11/4/23 visita +ctr---28/7/23 b.v.--9/1/24 saluti in visita---24/6/24 in visita---8/11/24 app---9/12/24 in visita---3/7/25 app;;SIG.RA MARA;fabio;;;CANFOR UTENSILI SRL;;;233202263;26/05/2025;03/07/2025;54;54
